file,line_number,edition,text,existing_scansion,regenerated_scansion,existing_syllables,regenerated_syllables
PhyT_gui_complete.csv,The Physician's Tale 162,OXFORD,As he was wont sat in his consistorie,u S u S u S u SuSux,       ,0,0
PhyT_gui_complete.csv,The Physician's Tale 191,OXFORD,Virginius gan upon the cherl biholde,uSuS u S u S uS,     ,0,0
PhyT_gui_complete.csv,The Physician's Tale 195,OXFORD,That it was fals that seide his adversarie,u S u S u S u SuSux,       ,0,0
PrT_gui_complete.csv,The Prioress' Tale 581,OXFORD,The white lamb celestial quod she,u Su S uSuSu  S,u Su S uSuS u S,10,10
PrT_gui_complete.csv,The Prioress' Tale 678,OXFORD,Wepinge and herien Cristes moder dere,Sux u Sux Su Su S,uSx u SuS uS uS xx,10,10
SNT_gui_complete.csv,The Second Nun's Tale 139,OXFORD,Every seconde or thridde day she faste,Su Sux u Su S u Sx,uSu Sux S ux S u Sx,10,10
SNT_gui_complete.csv,The Second Nun's Tale 147,OXFORD,So that ye swere ye shul me nat biwreye,u S u S u S u S uS,        ,0,0
SNT_gui_complete.csv,The Second Nun's Tale 268,OXFORD,Which thou shalt seen if that thou wolt reneye,u S u S u S u S uS,        ,0,0
SNT_gui_complete.csv,The Second Nun's Tale 388,OXFORD,Goth to the corone of lif that may nat faille,u S u Su u S u S u S,         ,0,0
SNT_gui_complete.csv,The Second Nun's Tale 407,OXFORD,Cecile him took and buried him anoon,uS S S u Su S uS,      ,0,0
SNT_gui_complete.csv,The Second Nun's Tale 428,OXFORD,Ye han bigon your question folily,u S uS u Su SuS,     ,0,0
SNT_gui_complete.csv,The Second Nun's Tale 431,OXFORD,Almache answerde unto that similitude,uS uSux uS u uSuS,    ,0,0
SNT_gui_complete.csv,The Second Nun's Tale 447,OXFORD,But if that he his cristendom withseye,u S u S u SuS uS,      ,0,0
SNT_gui_complete.csv,The Second Nun's Tale 448,OXFORD,And goon al quit if he wol it reneye,u S u S u S u S uS,        ,0,0
SNT_gui_complete.csv,The Second Nun's Tale 457,OXFORD,For vertuous we may it nat withseye,u SuS u S u S uS,      ,0,0
SNT_gui_complete.csv,The Second Nun's Tale 459,OXFORD,Do sacrifice or cristendom reneye,u SuS u SuS uS,    ,0,0
SNT_gui_complete.csv,The Second Nun's Tale 524,OXFORD,For he Almachius with ful wikke entente,u S uSu S u S uS,      ,0,0
SNT_gui_complete.csv,The Second Nun's Tale 548,OXFORD,The body fette and buried it by nighte,u Su S u Su S u S,       ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 12,OXFORD,He moot us clothe and he moot us arraye,u S u S u S u S uS,        ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 31,OXFORD,That in his hous as famulier was he,u S u S u SuS u S,       ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 133,OXFORD,Ne shal I of no conseil yow biwreye,u S u S u Su  uS,       ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 179,OXFORD,For his honour myself for to arraye,u S uS uS u S uS,      ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 298,OXFORD,Til that daun John rideth to his abbeye,u S u S Su u S uS,       ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 310,OXFORD,In al the hous ther nas so litel a knave,u S u S u S u Sux u S,         ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 323,OXFORD,And forth he rideth hoom to his abbeye,u S u Su S u S uS,       ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 336,OXFORD,For greet chiertee and greet affeccioun,u S uS u S uSuS,     ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 338,OXFORD,Nat for to axe or borwe of him moneye,u S u S u Sux u S uS,        ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 343,OXFORD,And he him tolde again ful specially,u S u S uS u SuS,      ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 344,OXFORD,How he had wel yboght and graciously,u S u S uS u SuS,      ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 369,OXFORD,And hoom he gooth murie as a papejay,u S u S uxu S u SuS,       ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 390,OXFORD,By redy tokne and heeld him evel apaied,u Su Sux u S u Sux uS,       ,0,0
ShipT_gui_complete.csv,The Shipman's Tale 399,OXFORD,I mighte him axe a thing that he hath paied,u S u S u S u S u S,         ,0,0
SqT_gui_complete.csv,The Squire's Tale 73,OXFORD,I wol nat tarien yow for it is prime,u S u Su S u S u S,        ,0,0
SqT_gui_complete.csv,The Squire's Tale 79,OXFORD,Biforn him at the bord deliciously,uS u S u S uSuS,     ,0,0
SqT_gui_complete.csv,The Squire's Tale 122,OXFORD,Or if yow list to fleen as hie in the air,u S u S u S u S ux u S,          ,0,0
SqT_gui_complete.csv,The Squire's Tale 325,OXFORD,Though al the world the contrarie hadde yswore,u S u S u Suux S uS,       ,0,0
SqT_gui_complete.csv,The Squire's Tale 402,OXFORD,If it be taried til that lust be cold,u S u Su S u S u S,        ,0,0
SqT_gui_complete.csv,The Squire's Tale 448,OXFORD,That ye be in this furial pine of helle,u S u S u Su S u S,        ,0,0
SqT_gui_complete.csv,The Squire's Tale 569,OXFORD,This is to seyn my wil obeyed his wil,u S u S u S uS u S,        ,0,0
SqT_gui_complete.csv,The Squire's Tale 585,OXFORD,So sorwefully eek that I wend verraily,u Suux S u S u SuS,      ,0,0
SqT_gui_complete.csv,The Squire's Tale 672,OXFORD,Til that the god Mercurius hous the slye,u S u S uSu S u S,       ,0,0
SumT_gui_complete.csv,The Summoner's Tale 1749,OXFORD,A Gods halfpeny or a masse peny,u S uSu S u U Sux,u S uSu S u Sx uS,10,10
SumT_gui_complete.csv,The Summoner's Tale 1770,OXFORD,Deus hic quod he O Thomas freend good day,u S u S u Su S u S,        ,0,0
SumT_gui_complete.csv,The Summoner's Tale 1785,OXFORD,And specially for thy savacioun,u SuS u S uSuS,    ,0,0
SumT_gui_complete.csv,The Summoner's Tale 1894,OXFORD,Aaron that had the temple in governaunce,uS u S u Sux u SuS,      ,0,0
SumT_gui_complete.csv,The Summoner's Tale 1903,OXFORD,War that I sey namore for it suffiseth,u S u  SuSx u S uSx,u S u S uSx u S uSx,10,10
SumT_gui_complete.csv,The Summoner's Tale 1919,OXFORD,I ne have no text of it as I suppose,u ux S u S u S u S uS,         ,0,0
SumT_gui_complete.csv,The Summoner's Tale 2147,OXFORD,And whan this sike man felt this frere,u S u Su S S u S,       ,0,0
TC1_gui_complete.csv,Troilus and Criseyde; Book I 164,OXFORD,To herknen of Palladion the servise,u Su S uSu S uSx,u Sx u SuSu S uSx,10,10
TC2_gui_complete.csv,Troilus and Criseyde; Book II 24,OXFORD,That hadden pris now wonder nice and straunge,u Su S u Sx uSu  Sx,u Su S u Su Sx u Sx,10,10
TC2_gui_complete.csv,Troilus and Criseyde; Book II 260,OXFORD,And sithen th ende is every tales strengthe,u Su ux S u SuS ux Sx,u Su  Sx u SuS ux Sx,10,10
TC2_gui_complete.csv,Troilus and Criseyde; Book II 276,OXFORD,And seide Lord so faste ye m avise,u Su S u Su S u Sx,u Su S u Su S  uSx,10,10
TC2_gui_complete.csv,Troilus and Criseyde; Book II 373,OXFORD,To temple go that he th images eteth,u Su S u S ux Su Sx,u Su S u S  uSu Sx,10,10
TC2_gui_complete.csv,Troilus and Criseyde; Book II 561,OXFORD,Of which I took somewhat suspecioun,u S u S uS uSuS,     ,0,0
TC2_gui_complete.csv,Troilus and Criseyde; Book II 611,OXFORD,Th ascry aroos at skarmish al withoute,ux uX uS u Su S uSx, uS uS u Su S uSx,10,10
TC2_gui_complete.csv,Troilus and Criseyde; Book II 724,OXFORD,N avauntour seith men certein is he noon,ux uSu S u Su S u S, uSu S u Su S u S,10,10
TC2_gui_complete.csv,Troilus and Criseyde; Book II 1215,OXFORD,And into a closet for t avise hir bettre,u Sx u Su S ux Sx u Sx,u Sx u Su S  uSx u Sx,10,10
TC2_gui_complete.csv,Troilus and Criseyde; Book II 1220,OXFORD,Th effect as fer as I can understonde,ux uS u S u S u SuSx, uS u S u S u SuSx,10,10
TC2_gui_complete.csv,Troilus and Criseyde; Book II 1226,OXFORD,She shette it and to Pandare gan goon,u S u S u Sux u S,u Su S u S uSx u S,10,10
TC2_gui_complete.csv,Troilus and Criseyde; Book II 1401,OXFORD,Now lat m alone and werken as I may,u S ux uSx u Su S u S,u S  uSx u Su S u S,10,10
TC4_gui_complete.csv,Troilus and Criseyde; Book IV 1647,OXFORD,If that ye were untrewe as God defende,u S u xx uS u S uSx,u S u Sx uSx u S uSx,10,10
TC4_gui_complete.csv,Troilus and Criseyde; Book IV 1696,OXFORD,Ne entendement considere ne tonge telle, uSuS uSux S ux Sx,u SuSu Suxx S ux Sx,10,10
TC5_gui_complete.csv,Troilus and Criseyde; Book V 474,OXFORD,Withinne his herte and every word and dede,uSx u Sx u Su S u S,uSx u Sx u SuS u S xx,10,10
WBPro_gui_complete.csv,The Wife of Bath's Prologue 104,OXFORD,Som this som that as him it liketh shifte,u S u  Su S u Su Sx,u S u S u S u Su Sx,10,10
WBT_gui_complete.csv,The Wife of Bath's Tale 1070,OXFORD,But al for noght th ende is this that he,         ,S u S u  Sx u S u S,0,9
